,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
658320,658320,Oldage,"Ed Farage, Bubu",Hmmm Games,,201,90,0,"50,000 .. 100,000",21,0,24,0,0,0,0,0
321260,321260,Wickland,Mad Ram Software,Mad Ram Software,,450,382,0,"50,000 .. 100,000",99,0,115,0,99,99,0,2
340730,340730,Sunrider Academy,Love in Space,Sekai Project,,919,170,0,"50,000 .. 100,000",307,0,359,0,999,999,0,5
618080,618080,Martial Arts Brutality,Cold Beam Games,Cold Beam Games,,526,92,0,"50,000 .. 100,000",102,0,102,0,0,0,0,1
377150,377150,Tactical Genius Online,Pixeltales.ru,Pixeltales.ru,,161,70,0,"50,000 .. 100,000",7,0,7,0,0,0,0,0
922450,922450,4X-Galaxy 无主之地：银河,Mercator,Mercator,,118,108,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1
378270,378270,Putrefaction,Kazakov Oleg,Kazakov Oleg,,274,125,0,"50,000 .. 100,000",252,0,260,0,99,99,0,0
521590,521590,Subterra,Warfare Studios,Senpai Studios,,49,27,0,"50,000 .. 100,000",323,0,601,0,499,499,0,1
396650,396650,ACE Academy,PixelFade Inc,PixelFade Inc,,1266,61,0,"50,000 .. 100,000",845,0,845,0,1999,1999,0,6
416210,416210,Block'hood,Plethora-Project LLC,Devolver Digital,,862,296,0,"50,000 .. 100,000",399,0,788,0,494,1499,67,10
465710,465710,Heroes Tactics,Camex Games,Camex Games,,141,89,0,"50,000 .. 100,000",1,0,1,0,0,0,0,8
667970,667970,VTOL VR,"Boundless Dynamics, LLC","Boundless Dynamics, LLC",,2144,66,0,"50,000 .. 100,000",281,0,328,0,2999,2999,0,77
755150,755150,Aurora Trail,Screenhit Studios,Screenhit Studios,,76,12,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
375320,375320,Colortone,Greendev.,Valkyrie Initiative,,97,53,0,"50,000 .. 100,000",242,0,242,0,399,399,0,1
486780,486780,Fruit Ninja VR,Halfbrick Studios Pty Ltd,Halfbrick Studios Pty Ltd,,551,117,0,"50,000 .. 100,000",122,0,156,0,1499,1499,0,7
290000,290000,DubWars,MURA Interactive,WOBBL3 Entertainment LLC,,218,62,0,"50,000 .. 100,000",169,0,169,0,999,999,0,1
279900,279900,Soul Axiom,Wales Interactive,Wales Interactive,,126,61,0,"50,000 .. 100,000",66,0,105,0,0,0,0,0
376520,376520,Kelvin and the Infamous Machine,Blyts,Blyts,,585,71,0,"50,000 .. 100,000",312,0,312,0,999,999,0,5
441790,441790,Fragmented,Above and Beyond Technologies,Above and Beyond Technologies,,816,1047,0,"50,000 .. 100,000",514,0,514,0,999,999,0,0
320540,320540,Coffin Dodgers,Milky Tea Studios,Milky Tea Studios,,464,206,0,"50,000 .. 100,000",154,0,229,0,1099,1099,0,0
1058370,1058370,Bone Voyage,Team Cobblestone,Breda University of Applied Sciences,,225,107,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1
349580,349580,Burstfire,Nacho Games,Nacho Games,,364,489,0,"50,000 .. 100,000",247,0,247,0,0,0,0,1
434030,434030,Aerofly FS 2 Flight Simulator,IPACS,IPACS,,1198,362,0,"50,000 .. 100,000",334,0,591,0,5999,5999,0,37
619310,619310,Ways of History,Glyph Worlds,Glyph Worlds,,106,103,0,"50,000 .. 100,000",8,0,15,0,0,0,0,21
