,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1287750,1287750,RC Flight Simulator 2020 VR,Thetis Games,Thetis Games,,7,10,0,"0 .. 20,000",0,0,0,0,999,999,0,0
707140,707140,Chess,baKno Games,baKno Games,,1,13,0,"0 .. 20,000",0,0,0,0,499,499,0,0
704360,704360,SACRALITH : The Archer`s Tale,Odd Meter,Odd Meter,,163,23,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
706440,706440,Cyborg Arena,Devdan Games,Devdan Games,,16,16,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1316290,1316290,We Die,Shades-On Studio,Shades-On Studio,,7,0,0,"0 .. 20,000",0,0,0,0,299,299,0,0
668510,668510,Kartofank VR,VIRTUAL REALITY LABORATORY DV,VIRTUAL REALITY LABORATORY DV,,6,0,0,"0 .. 20,000",0,0,0,0,199,199,0,0
730220,730220,Trivia Vault: Video Game Trivia Deluxe,Ripknot Systems,Ripknot Systems,,27,28,0,"0 .. 20,000",3,0,3,0,1499,1499,0,1
1326170,1326170,Immortal Hero,"박재성, 이재승, 이수, 정지현",Team RG,,7,1,0,"0 .. 20,000",0,0,0,0,0,0,0,0
417200,417200,Make Sail,Popcannibal,"PlayFig, Popcannibal",,43,20,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
762480,762480,Chinese inn,ChaoYe Liu,Happy Home Company,,41,18,0,"0 .. 20,000",0,0,0,0,799,799,0,1
1309290,1309290,Shadow of Valhalla,Chicken Waffle,Chicken Waffle,,19,2,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
747230,747230,Cosmic Buddies Town,"Ghost Clusters, NYX Digital Ltd","Funbox Media Ltd, KISS ltd",,2,1,0,"0 .. 20,000",0,0,0,0,299,299,0,0
782190,782190,The Seven Districts of Sin: The Tail Makes the Fox - Episode 1,Reine Works,Top Hat Studios Inc,,7,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
778250,778250,Battle of Kings VR,"Battle of Kings Team, Wenkly Studio Sp. z o.o.",Wenkly Studio Sp. z o.o.,,27,9,0,"0 .. 20,000",0,0,0,0,999,999,0,1
743000,743000,Progeny VR,Silverstring Media Inc.,Silverstring Media Inc.,,7,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
